Question	Answers	Image	Category
Which superhero is known as the Dark Knight?	Batman		popculture
What company makes the iPhone?	Apple		popculture
What color are Smurfs?	Blue		popculture
What is the name of Mickey Mouse's dog?	Pluto		popculture
In Finding Nemo, what type of fish is Nemo?	Clownfish, Clown Fish		popculture
What instrument has black and white keys?	Piano	images/instrument_piano.jpg	popculture
What popular food is shown here?	Pizza	images/food_pizza.jpg	popculture
What musical instrument is this?	Guitar	images/instrument_guitar.jpg	popculture
What food is this?	Hamburger, Burger	images/food_hamburger.jpg	popculture
How many members are in a typical boy band?	5, five		popculture
What sport uses a round orange ball?	Basketball		popculture
What is the name of the fairy in Peter Pan?	Tinkerbell, Tinker Bell		popculture
What language is Dora the Explorer teaching?	Spanish		popculture
What shape is a typical stop sign?	Octagon		popculture
What color is Superman's cape?	Red		popculture
In The Lion King, what is the cub's name?	Simba		popculture
What board game has properties like Boardwalk?	Monopoly		popculture
What famous painting is this?	Mona Lisa	images/painting_mona_lisa.jpg	popculture
What food is this?	Hot Dog, Hotdog	images/food_hot_dog.jpg	popculture
What instrument is this?	Drum, Drums	images/instrument_drum.png	popculture
What musical instrument is this?	Trumpet	images/instrument_trumpet.jpg	popculture
What is Mario's brother's name?	Luigi		popculture
What app has a ghost as its logo?	Snapchat		popculture
What candy bar shares its name with our galaxy?	Milky Way		popculture
What is the name of Shrek's donkey friend?	Donkey		popculture
What food is this?	Tacos, Taco	images/food_tacos.jpg	popculture
What instrument is this?	Violin	images/instrument_violin.jpg	popculture
What is the tallest animal?	Giraffe	images/animal_giraffe.jpg	popculture
In what sport do you hit a shuttlecock?	Badminton		popculture
Name this famous painting?	The Scream	images/painting_the_scream.jpg	popculture
What food is this?	Croissant	images/food_croissant.jpg	popculture
What color is a school bus?	Yellow		popculture
What is Pikachu?	Pokemon		popculture
What fruit is this?	Apple	images/misc_apple.jpg	science
What planet is closest to the Sun?	Mercury		science
What is H2O?	Water		science
How many legs does a spider have?	8, eight		science
What animal is this?	Elephant	images/animal_elephant.jpg	science
What gas do humans breathe in?	Oxygen		science
What is the closest star to Earth?	Sun		science
What fruit is this?	Banana	images/misc_banana.jpg	science
What animal is this?	Penguin	images/animal_penguin.jpg	science
What animal is this?	Zebra	images/animal_zebra.jpg	science
What animal is this?	Flamingo	images/animal_flamingo.jpg	science
How many bones does an adult human have?	206		science
What animal is this?	Tiger	images/animal_tiger.jpg	science
Water freezes at how many degrees Celsius?	0, zero		science
What is the largest organ in the human body?	Skin		science
What planet is this?	Saturn	images/misc_saturn.jpg	science
What animal is this?	Panda	images/animal_panda.jpg	science
How many teeth does an adult human normally have?	32		science
What animal is this?	Koala	images/animal_koala.jpg	science
Which planet is known as the Red Planet?	Mars		science
How many colors are in a rainbow?	7, seven		science
What is baby cat called?	Kitten		science
What force keeps us on the ground?	Gravity		science
What animal is this?	Giraffe	images/animal_giraffe.jpg	science
How many continents are there?	7, seven		science
What is frozen water called?	Ice		science
What animal is this?	Kangaroo	images/animal_kangaroo.jpg	science
What animal is this?	Sloth	images/animal_sloth.jpg	science
Is the sun a star or a planet?	Star		science
What is the boiling point of water in Celsius?	100		science
What is the hardest natural substance?	Diamond		science
What is the largest continent?	Asia		geography
Capital of France?	Paris		geography
What is the largest ocean?	Pacific, Pacific Ocean		geography
Capital of Italy?	Rome, Roma		geography
What country does this flag belong to?	Japan	images/flag_japan.png	geography
What country does this flag belong to?	United States, USA, America	images/flag_united_states.png	geography
What country does this flag belong to?	France	images/flag_france.png	geography
What country does this flag belong to?	Germany	images/flag_germany.png	geography
What country does this flag belong to?	Italy	images/flag_italy.png	geography
What country does this flag belong to?	Canada	images/flag_canada.png	geography
What country does this flag belong to?	United Kingdom, UK, Britain	images/flag_united_kingdom.png	geography
What famous landmark is this?	Eiffel Tower	images/landmark_eiffel_tower.jpg	geography
What famous landmark is this?	Statue of Liberty	images/landmark_statue_of_liberty.jpg	geography
What famous landmark is this?	Pyramids of Giza, Pyramids, Great Pyramid	images/landmark_pyramids_of_giza.jpg	geography
Primary language of Brazil?	Portuguese		geography
How many continents are there?	7, seven		geography
Capital of the United Kingdom?	London		geography
Capital of Japan?	Tokyo		geography
Capital of Spain?	Madrid		geography
What country does this flag belong to?	China	images/flag_china.png	geography
What country does this flag belong to?	Mexico	images/flag_mexico.png	geography
What country does this flag belong to?	Brazil	images/flag_brazil.png	geography
What famous landmark is this?	Big Ben	images/landmark_big_ben.jpg	geography
What famous landmark is this?	Taj Mahal	images/landmark_taj_mahal.jpg	geography
What is the smallest continent?	Australia		geography
Capital of Germany?	Berlin		geography
What ocean lies between Europe and America?	Atlantic, Atlantic Ocean		geography
Capital of China?	Beijing		geography
Capital of Egypt?	Cairo		geography
What famous landmark is this?	Great Wall of China, Great Wall	images/landmark_great_wall_of_china.jpg	geography
What country does this flag belong to?	India	images/flag_india.png	geography
What country does this flag belong to?	Turkey	images/flag_turkey.png	geography
What country does this flag belong to?	Sweden	images/flag_sweden.png	geography
What country does this flag belong to?	Switzerland	images/flag_switzerland.png	geography
What country does this flag belong to?	Norway	images/flag_norway.png	geography
What country does this flag belong to?	Denmark	images/flag_denmark.png	geography
What is the longest river in Africa?	Nile, Nile River		geography
