Question	Answers	Image	Category
Who directed the movie 2001: A Space Odyssey?	Stanley Kubrick, Kubrick		popculture
What artist painted this work?	Gustav Klimt, Klimt	images/painting_the_kiss.jpg	popculture
What painting is this?	Guernica	images/painting_guernica.jpg	popculture
Who painted Guernica?	Pablo Picasso, Picasso		popculture
What instrument is this?	Didgeridoo	images/instrument_didgeridoo.jpg	popculture
What painting is this?	The Persistence of Memory	images/painting_the_persistence_of_memory.jpg	popculture
Who painted The Persistence of Memory?	Salvador Dali, Dali		popculture
What painting is this?	Las Meninas	images/painting_las_meninas.jpg	popculture
Who painted Las Meninas?	Velazquez, Diego Velazquez		popculture
What artist created this sculpture?	Rodin, Auguste Rodin	images/landmark_the_thinker.jpg	popculture
What novel begins with Call me Ishmael?	Moby Dick, Moby-Dick		popculture
Who composed The Four Seasons?	Vivaldi, Antonio Vivaldi		popculture
What author wrote One Hundred Years of Solitude?	Gabriel Garcia Marquez, Garcia Marquez		popculture
Who directed Blade Runner?	Ridley Scott		popculture
What band released the album Dark Side of the Moon?	Pink Floyd		popculture
What instrument is traditionally from Scotland?	Bagpipes	images/instrument_bagpipes.jpg	popculture
Who wrote the novel Crime and Punishment?	Dostoevsky, Fyodor Dostoevsky		popculture
What opera features the aria Nessun Dorma?	Turandot		popculture
Who composed the opera The Magic Flute?	Mozart, Wolfgang Amadeus Mozart		popculture
What year was the first Star Wars film released?	1977		popculture
Who wrote the novel Brave New World?	Aldous Huxley, Huxley		popculture
Who painted the ceiling of the Sistine Chapel?	Michelangelo		popculture
What is the highest-grossing animated film of all time?	Frozen 2, Frozen II		popculture
Who directed the movie Spirited Away?	Hayao Miyazaki, Miyazaki		popculture
What artist painted Girl with a Pearl Earring?	Vermeer, Johannes Vermeer		popculture
Who created the comic strip Peanuts?	Charles Schulz, Schulz		popculture
What year was Minecraft first released?	2011		popculture
What author wrote The Great Gatsby?	F. Scott Fitzgerald, Fitzgerald		popculture
Who directed the movie Parasite?	Bong Joon-ho, Bong Joon Ho		popculture
What food is this?	Baklava	images/food_baklava.jpg	popculture
Who sculpted The Thinker?	Rodin, Auguste Rodin		popculture
What year was the first iPhone released?	2007		popculture
Who painted The Birth of Venus?	Botticelli, Sandro Botticelli		popculture
What is the rarest blood type?	AB negative, AB-		science
What is the chemical symbol for tungsten?	W		science
What is the half-life of Carbon-14 approximately in years?	5730		science
What particle has a positive charge?	Proton		science
What is the most abundant element in the universe?	Hydrogen		science
What is the pH of pure water?	7, seven		science
What planet rotates on its side?	Uranus		science
How many bones are in the human hand?	27		science
What is the fastest land animal?	Cheetah		science
What element has the symbol Hg?	Mercury		science
What is the deepest point in the ocean called?	Mariana Trench, Challenger Deep		science
What gas has the formula CO2?	Carbon Dioxide		science
What is the only metal that is liquid at standard conditions?	Mercury		science
What scientist discovered penicillin?	Alexander Fleming, Fleming		science
What is the largest known living organism?	Honey Fungus, Armillaria		science
What organ produces insulin?	Pancreas		science
What is the speed of sound in m/s approximately?	343		science
What is the most electronegative element?	Fluorine		science
Who proposed the heliocentric model of the solar system?	Copernicus, Nicolaus Copernicus		science
What is the densest naturally occurring element?	Osmium		science
What is the Mohs hardness of diamond?	10, ten		science
What vitamin deficiency causes scurvy?	Vitamin C, C		science
What is the smallest unit of life?	Cell		science
What element has atomic number 79?	Gold		science
How many valence electrons does carbon have?	4, four		science
What is the approximate age of Earth in billions of years?	4.5		science
What is the study of fungi called?	Mycology		science
What part of the eye controls how much light enters?	Iris		science
What blood type is the universal donor?	O negative, O-		science
What is the largest internal organ?	Liver		science
What is the chemical name for baking soda?	Sodium Bicarbonate		science
Capital of Burkina Faso?	Ouagadougou		geography
Country with the longest coastline?	Canada		geography
Strait separating Asia and North America?	Bering, Bering Strait		geography
Former name of Sri Lanka?	Ceylon		geography
Capital of Suriname?	Paramaribo		geography
African country never colonized besides Liberia?	Ethiopia		geography
Highest waterfall in the world?	Angel Falls		geography
Capital of Mongolia?	Ulaanbaatar, Ulan Bator		geography
Smallest US state by area?	Rhode Island		geography
What country does this flag belong to?	Bangladesh	images/flag_bangladesh.png	geography
What country does this flag belong to?	Nepal	images/flag_nepal.png	geography
What famous landmark is this?	Angkor Wat	images/landmark_angkor_wat.jpg	geography
What famous landmark is this?	Petra	images/landmark_petra.jpg	geography
What famous landmark is this?	Burj Khalifa	images/landmark_burj_khalifa.jpg	geography
What famous landmark is this?	Hagia Sophia	images/landmark_hagia_sophia.jpg	geography
What famous landmark is this?	Alhambra	images/landmark_alhambra.jpg	geography
What famous landmark is this?	Neuschwanstein Castle, Neuschwanstein	images/landmark_neuschwanstein_castle.jpg	geography
What is the deepest lake in the world?	Baikal, Lake Baikal		geography
Capital of Laos?	Vientiane		geography
What is the driest continent?	Antarctica		geography
What is the smallest African country by area?	Seychelles		geography
Capital of Myanmar?	Naypyidaw		geography
Capital of Kazakhstan?	Astana		geography
Capital of Ecuador?	Quito		geography
Capital of Nepal?	Kathmandu		geography
Capital of Vietnam?	Hanoi		geography
What sea lies between Africa and the Arabian Peninsula?	Red Sea		geography
Capital of Finland?	Helsinki		geography
Capital of Lebanon?	Beirut		geography
Capital of Kenya?	Nairobi		geography
What country has the most islands?	Sweden		geography
In which country is Machu Picchu?	Peru		geography
Capital of Iceland?	Reykjavik		geography
What is the longest river in South America?	Amazon, Amazon River		geography
Capital of Nigeria?	Abuja		geography
What is the largest landlocked country?	Kazakhstan		geography
What island country is located off the southeast coast of Africa?	Madagascar		geography
